Date,State,City,AQI,PM2.5,PM10,NO2,SO2,CO,O3
2022-03-12,Andhra Pradesh,Amaravati,72.5,22.82,72.5,23.97,32.92,0.71,49.29
2022-03-27,Andhra Pradesh,Amaravati,37.5,13.42,37.5,12.68,14.93,0.46,23.31
2022-04-11,Andhra Pradesh,Amaravati,35.7,8.36,35.7,14.45,9.91,0.43,20.91
2022-04-26,Andhra Pradesh,Amaravati,58.3,22.08,58.3,30.59,16.34,0.45,24.16
2022-05-11,Andhra Pradesh,Amaravati,68.9,18.23,68.9,37.32,36.3,0.58,22.86
2022-05-26,Andhra Pradesh,Amaravati,95.1,18.51,95.1,29.38,25.52,0.64,35.2
2022-06-10,Andhra Pradesh,Amaravati,42.8,8.15,16.97,34.24,14.95,0.44,27.19
2022-06-25,Andhra Pradesh,Amaravati,29.3,11.11,13.57,10.91,15.8,0.33,29.3
2022-07-10,Andhra Pradesh,Amaravati,36.9,14.66,13.02,18.08,8.91,0.45,36.9
2022-07-25,Andhra Pradesh,Amaravati,33.4,12.87,20.84,11.53,14.55,0.25,33.4
2022-08-09,Andhra Pradesh,Amaravati,29.6,9.05,29.6,7.32,9.63,0.26,13.34
2022-08-24,Andhra Pradesh,Amaravati,33.2,13.82,33.2,11.65,9.98,0.38,23.06
2022-09-08,Andhra Pradesh,Amaravati,34.1,13.2,34.1,12.17,18.71,0.43,16.48
2022-09-23,Andhra Pradesh,Amaravati,52.8,19.6,52.8,24.29,13.66,0.47,18.73
2022-10-08,Andhra Pradesh,Amaravati,38.7,10.73,38.7,9.75,9.43,0.41,13.94
2022-10-23,Andhra Pradesh,Amaravati,93.1,38.76,93.1,25.19,27.54,1.29,64.57
2022-11-07,Andhra Pradesh,Amaravati,127.3,39.87,152.76,40.21,46.46,1.06,53.91
2022-11-22,Andhra Pradesh,Amaravati,107.4,21.9,128.88,35.59,30.51,1.09,51.76
2022-12-07,Andhra Pradesh,Amaravati,108.7,41.85,130.44,26.79,31.19,1.38,75.42
2022-12-22,Andhra Pradesh,Amaravati,116.5,37.19,139.8,35.19,36.01,1.58,71.98
2023-01-06,Andhra Pradesh,Amaravati,121.3,33.04,145.56,58.05,61.16,1.09,69.52
2023-01-21,Andhra Pradesh,Amaravati,118.1,33.06,141.72,58.87,28.71,1.04,60.66
2023-02-05,Andhra Pradesh,Amaravati,89.4,30.83,89.4,45.01,33.59,1.05,57.36
2023-02-20,Andhra Pradesh,Amaravati,81.4,20.59,81.4,39.09,34.07,0.57,33.66
2023-03-07,Andhra Pradesh,Amaravati,71.4,20.14,71.4,39.83,35.05,0.83,35.15
2023-03-22,Andhra Pradesh,Amaravati,53.2,17.85,53.2,14.56,28.19,0.55,28.54
2023-04-06,Andhra Pradesh,Amaravati,85.1,27.28,85.1,23.98,29.17,0.72,47.18
2023-04-21,Andhra Pradesh,Amaravati,63.7,16.99,63.7,26.84,21.59,0.67,38.17
2023-05-06,Andhra Pradesh,Amaravati,77.3,27.5,77.3,26.24,25.53,0.6,46.65
2023-05-21,Andhra Pradesh,Amaravati,86.6,20.59,86.6,21.41,38.1,0.68,39.45
2023-06-05,Andhra Pradesh,Amaravati,71.4,13.37,71.4,35.51,27.75,0.62,47.1
2023-06-20,Andhra Pradesh,Amaravati,40.2,16.5,26.29,12.8,14.89,0.27,40.2
2023-07-05,Andhra Pradesh,Amaravati,32.7,9.61,17.94,18.22,18.3,0.42,32.7
2023-07-20,Andhra Pradesh,Amaravati,26.7,10.03,10.32,21.36,6.9,0.24,17.59
2023-08-04,Andhra Pradesh,Amaravati,53.9,11.58,53.9,28.54,24.53,0.55,29.25
2023-08-19,Andhra Pradesh,Amaravati,65.1,21.56,65.1,22.17,33.37,0.83,31.03
2023-09-03,Andhra Pradesh,Amaravati,36.0,13.68,36.0,9.17,17.5,0.44,19.18
2023-09-18,Andhra Pradesh,Amaravati,37.6,10.01,37.6,19.01,15.03,0.34,16.25
2023-10-03,Andhra Pradesh,Amaravati,91.4,20.03,91.4,38.28,33.65,0.63,31.66
2023-10-18,Andhra Pradesh,Amaravati,102.6,23.77,123.12,28.22,45.14,1.28,40.78
2023-11-02,Andhra Pradesh,Amaravati,104.5,40.13,125.4,47.57,37.96,0.77,42.68
2023-11-17,Andhra Pradesh,Amaravati,89.7,20.82,89.7,38.34,24.59,0.6,34.35
2023-12-02,Andhra Pradesh,Amaravati,86.4,24.58,86.4,47.82,29.67,0.74,29.17
2023-12-17,Andhra Pradesh,Amaravati,204.7,102.35,62.83,99.66,204.16,2.45,134.66
2024-01-01,Andhra Pradesh,Amaravati,214.7,107.35,83.1,97.11,75.45,2.49,110.0
2024-01-16,Andhra Pradesh,Amaravati,70.5,24.74,70.5,21.74,24.35,0.71,45.39
2024-01-31,Andhra Pradesh,Amaravati,62.9,20.54,62.9,23.61,26.9,0.69,27.07
2024-02-15,Andhra Pradesh,Amaravati,59.3,20.37,59.3,22.73,19.42,0.64,36.41
2024-03-01,Andhra Pradesh,Amaravati,63.0,21.18,63.0,23.05,27.72,0.57,29.22
2024-03-16,Andhra Pradesh,Amaravati,47.6,15.84,47.6,24.54,21.88,0.55,26.88
2024-03-31,Andhra Pradesh,Amaravati,51.1,15.98,51.1,14.71,21.84,0.52,25.93
2024-04-15,Andhra Pradesh,Amaravati,49.6,15.43,49.6,23.52,20.53,0.42,27.21
2024-04-30,Andhra Pradesh,Amaravati,45.1,18.14,45.1,25.01,14.94,0.47,15.5
2024-05-15,Andhra Pradesh,Amaravati,41.4,14.68,19.39,19.2,17.95,0.32,41.4
2024-05-30,Andhra Pradesh,Amaravati,55.2,12.23,19.12,20.93,24.53,0.74,55.2
2024-06-14,Andhra Pradesh,Amaravati,41.5,10.02,28.87,33.2,22.02,0.46,26.1
2024-06-29,Andhra Pradesh,Amaravati,34.9,12.83,15.17,14.32,10.22,0.34,34.9
2024-07-14,Andhra Pradesh,Amaravati,33.1,7.16,14.57,26.48,12.97,0.42,14.46
2024-07-29,Andhra Pradesh,Amaravati,34.7,10.58,16.48,12.15,14.11,0.23,34.7
2024-08-13,Andhra Pradesh,Amaravati,40.4,15.77,40.4,10.67,12.1,0.47,19.88
2024-08-28,Andhra Pradesh,Amaravati,38.1,15.11,38.1,10.38,18.36,0.5,11.47
2024-09-12,Andhra Pradesh,Amaravati,59.0,12.69,59.0,30.89,31.14,0.76,28.55
2024-09-27,Andhra Pradesh,Amaravati,49.7,14.04,49.7,17.26,15.88,0.44,32.02
2024-10-12,Andhra Pradesh,Amaravati,56.5,14.21,56.5,31.16,26.69,0.79,34.73
2024-10-27,Andhra Pradesh,Amaravati,90.4,31.64,90.4,46.12,46.29,0.85,29.67
2024-11-11,Andhra Pradesh,Amaravati,108.4,42.06,130.08,38.52,59.12,1.19,54.7
2024-11-26,Andhra Pradesh,Amaravati,80.7,20.62,80.7,29.31,31.85,0.79,35.8
2024-12-11,Andhra Pradesh,Amaravati,96.8,32.52,96.8,52.37,45.12,1.14,29.52
2024-12-26,Andhra Pradesh,Amaravati,117.9,26.26,141.48,29.34,41.96,0.9,67.01
2025-01-10,Andhra Pradesh,Amaravati,95.9,22.71,95.9,35.02,51.26,0.8,55.0
2025-01-25,Andhra Pradesh,Amaravati,68.6,13.63,68.6,28.38,26.51,0.92,46.3
2025-02-09,Andhra Pradesh,Amaravati,70.7,26.87,70.7,34.43,31.93,0.74,26.84
2025-02-24,Andhra Pradesh,Amaravati,76.5,17.07,76.5,36.97,28.73,1.0,28.75
2025-03-11,Andhra Pradesh,Amaravati,40.1,12.25,40.1,11.19,18.82,0.36,17.17
2025-03-26,Andhra Pradesh,Amaravati,85.7,25.53,85.7,45.1,43.07,0.81,51.17
2022-08-27,Andhra Pradesh,Anantapur,51.2,11.48,51.2,24.34,18.52,0.36,22.16
2022-09-11,Andhra Pradesh,Anantapur,65.6,14.38,65.6,24.11,24.08,0.81,44.35
2022-09-26,Andhra Pradesh,Anantapur,71.2,12.87,71.2,22.87,32.97,0.47,30.53
2022-10-11,Andhra Pradesh,Anantapur,68.9,24.98,68.9,25.52,24.88,0.96,36.02
2022-10-26,Andhra Pradesh,Anantapur,103.7,33.98,124.44,46.44,50.41,1.2,38.4
2022-11-10,Andhra Pradesh,Anantapur,77.5,17.84,77.5,27.98,25.63,0.89,39.29
2022-11-25,Andhra Pradesh,Anantapur,65.3,12.03,65.3,27.46,36.28,0.66,24.74
2022-12-10,Andhra Pradesh,Anantapur,60.5,15.03,60.5,26.33,15.26,0.59,33.37
2022-12-25,Andhra Pradesh,Anantapur,63.3,17.01,63.3,22.0,22.67,0.85,33.94
2023-01-09,Andhra Pradesh,Anantapur,70.4,14.85,70.4,26.6,23.69,0.64,24.52
2023-01-24,Andhra Pradesh,Anantapur,101.5,34.15,121.8,47.42,44.29,0.86,49.39
2023-02-08,Andhra Pradesh,Anantapur,148.9,38.04,178.68,50.21,151.67,1.14,78.77
2023-02-23,Andhra Pradesh,Anantapur,71.6,20.32,71.6,27.39,34.13,0.67,50.03
2023-03-10,Andhra Pradesh,Anantapur,53.9,20.45,53.9,19.79,21.84,0.44,24.06
2023-03-25,Andhra Pradesh,Anantapur,55.2,12.85,55.2,18.35,30.46,0.54,28.37
2023-04-09,Andhra Pradesh,Anantapur,56.4,18.23,56.4,29.97,14.53,0.55,36.3
2023-04-24,Andhra Pradesh,Anantapur,41.1,7.56,41.1,19.5,19.5,0.54,16.68
2023-05-09,Andhra Pradesh,Anantapur,54.8,20.78,36.06,18.12,28.43,0.33,54.8
2023-05-24,Andhra Pradesh,Anantapur,67.8,21.54,67.8,32.76,24.91,0.7,23.26
2023-06-08,Andhra Pradesh,Anantapur,66.2,14.55,66.2,18.13,24.56,0.89,28.12
2023-06-23,Andhra Pradesh,Anantapur,43.1,14.37,15.28,34.48,11.13,0.49,29.66
2023-07-08,Andhra Pradesh,Anantapur,48.8,12.84,33.31,21.45,15.36,0.59,48.8
2023-07-23,Andhra Pradesh,Anantapur,46.6,19.14,18.19,16.58,20.67,0.5,46.6
2023-08-07,Andhra Pradesh,Anantapur,67.1,27.96,67.1,24.49,24.69,0.87,41.71
2023-08-22,Andhra Pradesh,Anantapur,55.1,20.68,55.1,24.66,13.44,0.35,35.84
2023-09-06,Andhra Pradesh,Anantapur,51.3,21.25,51.3,18.5,23.27,0.46,17.59
2023-09-21,Andhra Pradesh,Anantapur,46.0,18.3,46.0,22.05,23.23,0.45,16.54
2023-10-06,Andhra Pradesh,Anantapur,92.5,23.58,92.5,44.32,29.37,0.63,48.63
2023-10-21,Andhra Pradesh,Anantapur,75.1,17.62,75.1,31.23,39.95,0.87,29.66
2023-11-05,Andhra Pradesh,Anantapur,65.8,26.68,65.8,19.68,34.67,0.73,41.74
2023-11-20,Andhra Pradesh,Anantapur,44.9,11.3,44.9,22.55,21.4,0.42,25.29
2023-12-05,Andhra Pradesh,Anantapur,68.1,12.95,68.1,37.61,17.17,0.8,32.21
2023-12-20,Andhra Pradesh,Anantapur,84.6,26.96,84.6,24.0,41.64,1.0,32.64
2024-01-04,Andhra Pradesh,Anantapur,80.2,28.68,80.2,39.88,30.8,0.53,33.17
2024-01-19,Andhra Pradesh,Anantapur,74.9,24.73,74.9,23.41,36.91,0.8,29.55
2024-02-03,Andhra Pradesh,Anantapur,62.6,24.68,62.6,15.27,34.32,0.61,22.3
2024-02-18,Andhra Pradesh,Anantapur,74.2,17.37,74.2,18.56,18.08,0.6,25.91
2024-03-04,Andhra Pradesh,Anantapur,93.0,34.92,93.0,50.22,36.91,0.91,35.1
2024-03-19,Andhra Pradesh,Anantapur,82.4,30.5,82.4,20.13,21.89,0.93,53.02
2024-04-03,Andhra Pradesh,Anantapur,74.5,23.92,74.5,34.41,32.04,0.79,45.83
2024-04-18,Andhra Pradesh,Anantapur,92.6,33.73,92.6,37.83,38.79,1.04,63.09
2024-05-03,Andhra Pradesh,Anantapur,76.3,18.15,76.3,31.81,34.53,0.87,35.5
2024-05-18,Andhra Pradesh,Anantapur,71.9,22.34,71.9,29.52,38.97,0.48,42.57
2024-06-02,Andhra Pradesh,Anantapur,54.8,13.15,25.83,14.52,19.24,0.64,54.8
2024-06-17,Andhra Pradesh,Anantapur,79.4,14.44,79.4,25.81,38.98,1.08,54.2
2024-07-02,Andhra Pradesh,Anantapur,72.8,17.66,72.8,30.25,24.77,0.64,31.95
2024-07-17,Andhra Pradesh,Anantapur,66.9,23.27,66.9,30.93,24.53,0.58,25.51
2024-08-01,Andhra Pradesh,Anantapur,74.5,27.71,74.5,37.06,37.95,0.7,47.31
2024-08-16,Andhra Pradesh,Anantapur,51.0,11.65,51.0,17.28,21.33,0.46,34.38
2024-08-31,Andhra Pradesh,Anantapur,52.7,14.06,52.7,24.55,23.41,0.65,23.39
2024-09-15,Andhra Pradesh,Anantapur,58.5,14.88,58.5,15.8,18.44,0.39,33.45
2024-09-30,Andhra Pradesh,Anantapur,51.5,20.65,51.5,17.79,22.94,0.59,21.39
2024-10-15,Andhra Pradesh,Anantapur,64.4,20.36,64.4,20.29,22.1,0.67,21.82
2024-10-30,Andhra Pradesh,Anantapur,56.1,11.49,56.1,14.36,25.32,0.69,25.91
2024-11-14,Andhra Pradesh,Anantapur,94.4,27.98,94.4,45.11,38.2,0.67,62.5
2024-11-29,Andhra Pradesh,Anantapur,48.8,13.18,48.8,26.09,20.38,0.48,19.01
2024-12-14,Andhra Pradesh,Anantapur,49.5,16.77,49.5,22.93,20.6,0.3,15.37
2024-12-29,Andhra Pradesh,Anantapur,60.2,22.61,60.2,26.51,23.8,0.47,21.56
2025-01-13,Andhra Pradesh,Anantapur,57.4,23.7,57.4,28.05,26.53,0.6,19.56
2025-01-28,Andhra Pradesh,Anantapur,62.4,11.27,62.4,34.08,32.27,0.61,34.64
2025-02-12,Andhra Pradesh,Anantapur,67.9,22.53,67.9,37.47,24.84,0.56,40.43
2025-02-27,Andhra Pradesh,Anantapur,60.5,18.8,60.5,17.19,31.85,0.48,24.85
2025-03-14,Andhra Pradesh,Anantapur,55.8,12.42,55.8,26.91,25.23,0.57,22.91
2025-03-29,Andhra Pradesh,Anantapur,81.3,23.67,81.3,23.9,37.4,0.84,47.06
2022-11-22,Andhra Pradesh,Chittoor,68.9,18.6,68.9,32.87,30.62,0.51,21.15
2022-12-07,Andhra Pradesh,Chittoor,88.0,17.91,88.0,41.3,28.81,1.01,30.87
2022-12-22,Andhra Pradesh,Chittoor,60.4,21.99,60.4,31.62,26.38,0.53,36.35
2023-01-06,Andhra Pradesh,Chittoor,62.3,25.28,62.3,31.43,15.09,0.75,36.91
2023-01-21,Andhra Pradesh,Chittoor,59.6,17.08,59.6,27.06,18.83,0.4,25.23
2023-02-05,Andhra Pradesh,Chittoor,118.7,38.72,142.44,42.73,58.96,1.66,40.05
2023-02-20,Andhra Pradesh,Chittoor,78.1,28.63,78.1,40.35,43.45,0.7,53.34
2023-03-07,Andhra Pradesh,Chittoor,75.1,20.99,75.1,37.35,23.51,0.62,47.89
2023-03-22,Andhra Pradesh,Chittoor,61.0,13.28,61.0,30.23,31.27,0.56,29.19
2023-05-21,Andhra Pradesh,Chittoor,79.1,19.12,79.1,42.44,33.35,0.72,38.37
2023-06-05,Andhra Pradesh,Chittoor,49.1,11.65,21.32,26.67,24.61,0.62,49.1
2023-06-20,Andhra Pradesh,Chittoor,39.5,11.27,26.46,31.6,19.92,0.25,12.4
2023-07-05,Andhra Pradesh,Chittoor,37.5,12.62,21.25,15.74,10.31,0.31,37.5
2023-07-20,Andhra Pradesh,Chittoor,30.9,10.62,18.08,13.83,9.53,0.34,30.9
2023-08-04,Andhra Pradesh,Chittoor,46.1,17.79,46.1,17.95,13.54,0.49,16.78
2023-08-19,Andhra Pradesh,Chittoor,50.4,16.62,50.4,21.67,25.78,0.4,22.04
2023-09-03,Andhra Pradesh,Chittoor,36.7,7.36,36.7,18.84,16.7,0.49,15.37
2023-09-18,Andhra Pradesh,Chittoor,36.1,10.49,36.1,11.96,10.46,0.37,24.38
2023-10-03,Andhra Pradesh,Chittoor,106.2,30.09,127.44,30.05,43.58,1.4,35.62
2023-10-18,Andhra Pradesh,Chittoor,145.3,35.54,174.36,56.41,47.73,1.52,88.99
2023-11-02,Andhra Pradesh,Chittoor,100.1,26.93,120.12,55.73,35.83,0.92,60.58
2023-11-17,Andhra Pradesh,Chittoor,50.2,11.54,50.2,20.87,22.56,0.67,26.85
2023-12-02,Andhra Pradesh,Chittoor,77.4,23.37,77.4,40.57,41.99,0.97,38.98
2023-12-17,Andhra Pradesh,Chittoor,94.2,22.98,94.2,34.78,41.4,0.93,32.81
2024-01-01,Andhra Pradesh,Chittoor,78.9,29.05,78.9,31.72,25.65,0.57,29.76
2024-01-16,Andhra Pradesh,Chittoor,65.8,12.08,65.8,35.67,29.68,0.72,30.95
2024-01-31,Andhra Pradesh,Chittoor,85.1,27.0,85.1,40.11,39.2,0.79,48.44
2024-02-15,Andhra Pradesh,Chittoor,70.3,20.78,70.3,21.56,37.66,0.73,39.77
2024-03-01,Andhra Pradesh,Chittoor,108.9,39.53,130.68,47.57,60.08,1.34,46.77
2024-03-16,Andhra Pradesh,Chittoor,76.8,31.05,76.8,22.31,28.97,0.7,42.04
2024-03-31,Andhra Pradesh,Chittoor,93.6,20.68,93.6,47.17,22.75,1.26,55.47
2024-04-15,Andhra Pradesh,Chittoor,85.9,24.08,85.9,47.36,37.78,0.95,39.03
2024-04-30,Andhra Pradesh,Chittoor,76.8,16.69,76.8,24.49,40.6,1.07,26.63
2024-05-15,Andhra Pradesh,Chittoor,69.5,27.35,69.5,30.65,18.85,0.65,48.57
2024-05-30,Andhra Pradesh,Chittoor,50.5,14.39,15.59,22.0,22.79,0.46,50.5
2024-06-14,Andhra Pradesh,Chittoor,59.4,24.48,40.65,25.09,32.42,0.49,59.4
2024-06-29,Andhra Pradesh,Chittoor,76.4,17.25,76.4,30.7,34.48,0.68,45.67
2024-07-14,Andhra Pradesh,Chittoor,57.4,13.36,28.06,15.07,25.82,0.45,57.4
2024-07-29,Andhra Pradesh,Chittoor,56.8,20.77,33.95,45.44,22.52,0.76,38.91
2024-08-13,Andhra Pradesh,Chittoor,58.0,22.94,58.0,26.85,22.98,0.64,32.3
2024-08-28,Andhra Pradesh,Chittoor,57.1,23.61,57.1,15.27,19.21,0.68,18.43
2024-09-12,Andhra Pradesh,Chittoor,72.0,22.73,72.0,38.46,27.22,0.73,36.19
2024-09-27,Andhra Pradesh,Chittoor,50.5,15.17,50.5,21.71,14.92,0.41,32.05
2024-10-12,Andhra Pradesh,Chittoor,54.3,16.02,54.3,18.47,14.17,0.33,24.46
2024-10-27,Andhra Pradesh,Chittoor,99.6,30.89,99.6,24.96,30.21,1.0,37.64
2024-11-11,Andhra Pradesh,Chittoor,102.8,23.16,123.36,54.23,46.68,1.22,54.13
2024-11-26,Andhra Pradesh,Chittoor,86.7,28.89,86.7,43.59,27.76,0.74,47.84
2024-12-11,Andhra Pradesh,Chittoor,99.9,23.78,99.9,53.22,24.01,0.61,38.32
2024-12-26,Andhra Pradesh,Chittoor,104.2,38.43,125.04,40.89,26.14,0.81,33.95
2025-01-10,Andhra Pradesh,Chittoor,101.0,22.05,121.2,48.67,29.94,1.27,46.38
2025-01-25,Andhra Pradesh,Chittoor,97.8,18.75,97.8,53.71,36.26,0.91,62.44
2025-02-09,Andhra Pradesh,Chittoor,89.5,34.5,89.5,36.13,44.71,0.85,29.44
2025-02-24,Andhra Pradesh,Chittoor,85.4,31.57,85.4,25.95,46.86,0.79,43.76
2025-03-11,Andhra Pradesh,Chittoor,64.4,22.44,64.4,25.62,22.3,0.41,20.44
2025-03-26,Andhra Pradesh,Chittoor,101.7,27.24,122.04,46.98,37.81,1.28,61.78
2023-01-25,Andhra Pradesh,Kadapa,166.1,58.62,199.32,65.19,73.04,2.27,112.62
2023-02-09,Andhra Pradesh,Kadapa,158.6,34.94,190.32,75.42,65.84,1.93,67.7
2023-02-24,Andhra Pradesh,Kadapa,93.5,38.78,93.5,41.16,27.82,1.21,44.24
2023-03-11,Andhra Pradesh,Kadapa,110.9,38.36,133.08,35.83,40.75,1.38,64.15
2023-03-26,Andhra Pradesh,Kadapa,103.6,25.51,124.32,54.85,54.0,1.13,33.88
2023-04-10,Andhra Pradesh,Kadapa,78.5,26.74,78.5,36.19,42.91,0.67,37.99
2023-04-25,Andhra Pradesh,Kadapa,44.0,16.39,44.0,17.52,15.45,0.46,20.72
2023-05-10,Andhra Pradesh,Kadapa,63.7,15.26,63.7,19.78,22.09,0.68,23.2
2023-05-25,Andhra Pradesh,Kadapa,52.3,11.65,26.18,14.65,23.26,0.41,52.3
2023-06-09,Andhra Pradesh,Kadapa,38.7,16.25,24.6,13.89,16.68,0.25,38.7
2023-06-24,Andhra Pradesh,Kadapa,32.3,7.21,14.34,25.84,12.3,0.43,15.86
2023-07-09,Andhra Pradesh,Kadapa,32.6,7.24,15.41,26.08,9.66,0.44,13.04
2023-07-24,Andhra Pradesh,Kadapa,28.2,6.6,17.71,7.16,8.8,0.26,28.2
2023-08-08,Andhra Pradesh,Kadapa,59.2,20.45,59.2,26.07,15.45,0.68,29.71
2023-08-23,Andhra Pradesh,Kadapa,33.3,8.75,33.3,13.41,13.97,0.26,18.72
2023-09-07,Andhra Pradesh,Kadapa,35.4,14.63,35.4,17.28,16.32,0.37,16.18
2023-09-22,Andhra Pradesh,Kadapa,47.2,14.58,47.2,25.28,12.03,0.55,28.7
2023-10-07,Andhra Pradesh,Kadapa,71.2,27.25,71.2,23.98,30.35,0.82,41.24
2023-10-22,Andhra Pradesh,Kadapa,52.8,18.41,52.8,20.04,25.91,0.45,25.74
2023-11-06,Andhra Pradesh,Kadapa,69.9,18.38,69.9,34.11,30.75,0.88,40.69
2023-11-21,Andhra Pradesh,Kadapa,41.1,10.07,41.1,19.36,18.22,0.27,25.24
2023-12-06,Andhra Pradesh,Kadapa,63.6,18.08,63.6,16.07,16.33,0.73,38.34
2023-12-21,Andhra Pradesh,Kadapa,69.4,22.43,69.4,21.48,23.68,0.46,40.51
2024-01-05,Andhra Pradesh,Kadapa,56.4,14.94,56.4,26.73,21.55,0.73,20.82
2024-01-20,Andhra Pradesh,Kadapa,45.2,13.11,45.2,14.5,20.81,0.41,31.47
2024-02-04,Andhra Pradesh,Kadapa,58.9,13.67,58.9,21.83,29.88,0.66,28.66
2024-02-19,Andhra Pradesh,Kadapa,63.0,24.72,63.0,19.34,24.96,0.6,20.57
2024-03-05,Andhra Pradesh,Kadapa,57.1,13.73,57.1,27.5,22.69,0.36,17.55
2024-03-20,Andhra Pradesh,Kadapa,57.8,19.64,57.8,31.75,25.4,0.53,18.06
2024-04-04,Andhra Pradesh,Kadapa,61.0,24.1,61.0,17.31,31.19,0.75,26.74
2024-04-19,Andhra Pradesh,Kadapa,64.6,22.1,64.6,22.69,24.75,0.55,41.85
2024-05-04,Andhra Pradesh,Kadapa,77.0,28.22,77.0,38.76,29.33,0.57,46.75
2024-05-19,Andhra Pradesh,Kadapa,55.5,22.1,33.65,15.0,19.55,0.64,55.5
2024-06-03,Andhra Pradesh,Kadapa,58.0,21.54,24.4,46.4,26.88,0.56,17.44
2024-06-18,Andhra Pradesh,Kadapa,60.5,20.46,60.5,25.29,33.81,0.39,27.99
2024-07-03,Andhra Pradesh,Kadapa,52.6,19.83,34.64,42.08,15.57,0.65,24.63
2024-07-18,Andhra Pradesh,Kadapa,47.0,12.31,17.07,15.83,17.37,0.48,47.0
2024-08-02,Andhra Pradesh,Kadapa,51.8,15.09,51.8,28.15,20.15,0.65,15.77
2024-08-17,Andhra Pradesh,Kadapa,45.0,10.17,45.0,11.26,18.0,0.56,21.66
2024-09-01,Andhra Pradesh,Kadapa,57.0,10.37,57.0,24.69,16.24,0.65,33.86
2024-09-16,Andhra Pradesh,Kadapa,52.9,17.91,52.9,23.69,22.48,0.46,21.6
2024-10-01,Andhra Pradesh,Kadapa,50.7,19.04,50.7,15.12,13.71,0.5,20.52
2024-10-16,Andhra Pradesh,Kadapa,65.6,12.03,65.6,16.47,19.33,0.49,37.29
2024-10-31,Andhra Pradesh,Kadapa,85.0,23.64,85.0,20.66,27.36,0.65,30.77
2024-11-15,Andhra Pradesh,Kadapa,98.0,33.17,98.0,38.03,46.92,1.33,63.9
2024-11-30,Andhra Pradesh,Kadapa,108.2,27.53,129.84,28.21,42.31,1.03,62.02
2024-12-15,Andhra Pradesh,Kadapa,58.1,10.62,58.1,14.83,22.54,0.6,31.98
2024-12-30,Andhra Pradesh,Kadapa,69.9,29.08,69.9,19.03,31.0,0.72,34.32
2025-01-14,Andhra Pradesh,Kadapa,80.5,23.12,80.5,27.98,29.04,0.63,54.27
2025-01-29,Andhra Pradesh,Kadapa,99.5,24.85,99.5,38.27,24.77,0.84,47.6
